2016-11-03 20:37:44 ===== Starting: clopgtp =====
2016-11-03 20:37:44 Reading clopgtp-old.dat...
2016-11-03 20:37:44 Wrong N (got 15, expected 9)
2016-11-03 20:39:20 Run
2016-11-03 21:59:12 id = 1 (cpu2); Seed = 44; Starting new sample
2016-11-03 21:59:20 id = 6 (cpu7); Seed = 38; Done (1)
2016-11-03 21:59:20 id = 6 (cpu7); Seed = 45; Starting new sample
2016-11-03 22:03:51 id = 4 (cpu5); Seed = 41; Done (0)
2016-11-03 22:03:51 id = 4 (cpu5); Seed = 46; Starting new sample
2016-11-03 22:04:35 id = 0 (cpu1); Seed = 39; Done (0)
2016-11-03 22:04:35 id = 0 (cpu1); Seed = 47; Starting new sample
2016-11-03 22:04:52 id = 2 (cpu3); Seed = 40; Done (0)
2016-11-03 22:04:52 id = 2 (cpu3); Seed = 48; Starting new sample
2016-11-03 22:08:51 id = 3 (cpu4); Seed = 42; Done (1)
2016-11-03 22:08:51 id = 3 (cpu4); Seed = 49; Starting new sample
2016-11-03 22:09:33 id = 5 (cpu6); Seed = 43; Done (0)
2016-11-03 22:09:33 id = 5 (cpu6); Seed = 50; Starting new sample
2016-11-03 22:13:36 id = 6 (cpu7); Seed = 45; Done (1)
2016-11-03 22:13:36 id = 6 (cpu7); Seed = 51; Starting new sample
2016-11-03 22:14:47 id = 1 (cpu2); Seed = 44; Done (0)
2016-11-03 22:14:47 id = 1 (cpu2); Seed = 52; Starting new sample
2016-11-03 22:17:55 id = 4 (cpu5); Seed = 46; Done (0)
2016-11-03 22:17:55 id = 4 (cpu5); Seed = 53; Starting new sample
2016-11-03 22:18:14 id = 2 (cpu3); Seed = 48; Done (0)
2016-11-03 22:18:14 id = 2 (cpu3); Seed = 54; Starting new sample
2016-11-03 22:19:59 id = 0 (cpu1); Seed = 47; Done (0)
2016-11-03 22:19:59 id = 0 (cpu1); Seed = 55; Starting new sample
2016-11-03 22:23:26 id = 3 (cpu4); Seed = 49; Done (0)
2016-11-03 22:23:26 id = 3 (cpu4); Seed = 56; Starting new sample
2016-11-03 22:25:19 id = 5 (cpu6); Seed = 50; Done (0)
2016-11-03 22:25:19 id = 5 (cpu6); Seed = 57; Starting new sample
2016-11-03 22:25:54 id = 6 (cpu7); Seed = 51; Done (0)
2016-11-03 22:25:54 id = 6 (cpu7); Seed = 58; Starting new sample
2016-11-03 22:28:47 id = 2 (cpu3); Seed = 54; Done (0)
2016-11-03 22:28:47 id = 2 (cpu3); Seed = 59; Starting new sample
2016-11-03 22:28:59 id = 1 (cpu2); Seed = 52; Done (1)
2016-11-03 22:28:59 id = 1 (cpu2); Seed = 60; Starting new sample
2016-11-03 22:30:41 id = 4 (cpu5); Seed = 53; Done (0)
2016-11-03 22:30:41 id = 4 (cpu5); Seed = 61; Starting new sample
2016-11-03 22:33:18 id = 0 (cpu1); Seed = 55; Done (0)
2016-11-03 22:33:18 id = 0 (cpu1); Seed = 62; Starting new sample
2016-11-03 22:35:29 id = 3 (cpu4); Seed = 56; Done (1)
2016-11-03 22:35:29 id = 3 (cpu4); Seed = 63; Starting new sample
2016-11-03 22:39:26 id = 5 (cpu6); Seed = 57; Done (0)
2016-11-03 22:39:26 id = 5 (cpu6); Seed = 64; Starting new sample
2016-11-03 22:39:44 id = 0 (cpu1); Seed = 62; Done (0)
2016-11-03 22:39:44 id = 0 (cpu1); Seed = 65; Starting new sample
2016-11-03 22:40:55 id = 6 (cpu7); Seed = 58; Done (0)
2016-11-03 22:40:55 id = 6 (cpu7); Seed = 66; Starting new sample
2016-11-03 22:42:28 id = 2 (cpu3); Seed = 59; Done (0)
2016-11-03 22:42:28 id = 2 (cpu3); Seed = 67; Starting new sample
2016-11-03 22:44:41 id = 1 (cpu2); Seed = 60; Done (0)
2016-11-03 22:44:41 id = 1 (cpu2); Seed = 68; Starting new sample
2016-11-03 22:46:00 id = 4 (cpu5); Seed = 61; Done (0)
2016-11-03 22:46:00 id = 4 (cpu5); Seed = 69; Starting new sample
2016-11-03 22:48:31 id = 3 (cpu4); Seed = 63; Done (0)
2016-11-03 22:48:31 id = 3 (cpu4); Seed = 70; Starting new sample
2016-11-03 22:54:04 id = 5 (cpu6); Seed = 64; Done (0)
2016-11-03 22:54:04 id = 5 (cpu6); Seed = 71; Starting new sample
2016-11-03 22:55:11 id = 0 (cpu1); Seed = 65; Done (0)
2016-11-03 22:55:11 id = 0 (cpu1); Seed = 72; Starting new sample
2016-11-03 22:55:38 id = 6 (cpu7); Seed = 66; Done (0)
2016-11-03 22:55:38 id = 6 (cpu7); Seed = 73; Starting new sample
2016-11-03 22:55:48 id = 2 (cpu3); Seed = 67; Done (0)
2016-11-03 22:55:48 id = 2 (cpu3); Seed = 74; Starting new sample
2016-11-03 23:00:11 id = 5 (cpu6); Seed = 71; Done (0)
2016-11-03 23:00:11 id = 5 (cpu6); Seed = 75; Starting new sample
2016-11-03 23:00:53 id = 4 (cpu5); Seed = 69; Done (0)
2016-11-03 23:00:53 id = 4 (cpu5); Seed = 76; Starting new sample
2016-11-03 23:01:09 id = 1 (cpu2); Seed = 68; Done (0)
2016-11-03 23:01:09 id = 1 (cpu2); Seed = 77; Starting new sample
2016-11-03 23:03:20 id = 3 (cpu4); Seed = 70; Done (0)
2016-11-03 23:03:20 id = 3 (cpu4); Seed = 78; Starting new sample
2016-11-03 23:08:25 id = 6 (cpu7); Seed = 73; Done (0)
2016-11-03 23:08:25 id = 6 (cpu7); Seed = 79; Starting new sample
2016-11-03 23:09:47 id = 0 (cpu1); Seed = 72; Done (1)
2016-11-03 23:09:47 id = 0 (cpu1); Seed = 80; Starting new sample
2016-11-03 23:10:27 id = 2 (cpu3); Seed = 74; Done (0)
2016-11-03 23:10:27 id = 2 (cpu3); Seed = 81; Starting new sample
2016-11-03 23:15:12 id = 1 (cpu2); Seed = 77; Done (0)
2016-11-03 23:15:12 id = 1 (cpu2); Seed = 82; Starting new sample
2016-11-03 23:16:21 id = 5 (cpu6); Seed = 75; Done (0)
2016-11-03 23:16:21 id = 5 (cpu6); Seed = 83; Starting new sample
2016-11-03 23:16:33 id = 3 (cpu4); Seed = 78; Done (0)
2016-11-03 23:16:33 id = 3 (cpu4); Seed = 84; Starting new sample
2016-11-03 23:16:54 id = 4 (cpu5); Seed = 76; Done (0)
2016-11-03 23:16:55 id = 4 (cpu5); Seed = 85; Starting new sample
2016-11-03 23:23:49 id = 2 (cpu3); Seed = 81; Done (0)
2016-11-03 23:23:49 id = 2 (cpu3); Seed = 86; Starting new sample
2016-11-03 23:24:31 id = 6 (cpu7); Seed = 79; Done (0)
2016-11-03 23:24:31 id = 6 (cpu7); Seed = 87; Starting new sample
2016-11-03 23:24:52 id = 0 (cpu1); Seed = 80; Done (0)
2016-11-03 23:24:52 id = 0 (cpu1); Seed = 88; Starting new sample
2016-11-03 23:26:09 id = 3 (cpu4); Seed = 84; Done (1)
2016-11-03 23:26:09 id = 3 (cpu4); Seed = 89; Starting new sample
2016-11-03 23:27:34 id = 1 (cpu2); Seed = 82; Done (1)
2016-11-03 23:27:34 id = 1 (cpu2); Seed = 90; Starting new sample
2016-11-03 23:30:56 id = 4 (cpu5); Seed = 85; Done (1)
2016-11-03 23:30:57 id = 4 (cpu5); Seed = 91; Starting new sample
2016-11-03 23:31:23 id = 5 (cpu6); Seed = 83; Done (0)
2016-11-03 23:31:23 id = 5 (cpu6); Seed = 92; Starting new sample
2016-11-03 23:37:17 id = 2 (cpu3); Seed = 86; Done (1)
2016-11-03 23:37:17 id = 2 (cpu3); Seed = 93; Starting new sample
2016-11-03 23:38:47 id = 6 (cpu7); Seed = 87; Done (0)
2016-11-03 23:38:47 id = 6 (cpu7); Seed = 94; Starting new sample
2016-11-03 23:40:22 id = 3 (cpu4); Seed = 89; Done (0)
2016-11-03 23:40:23 id = 3 (cpu4); Seed = 95; Starting new sample
2016-11-03 23:40:46 id = 0 (cpu1); Seed = 88; Done (0)
2016-11-03 23:40:46 id = 0 (cpu1); Seed = 96; Starting new sample
2016-11-03 23:41:59 id = 1 (cpu2); Seed = 90; Done (0)
2016-11-03 23:41:59 id = 1 (cpu2); Seed = 97; Starting new sample
2016-11-03 23:44:31 id = 5 (cpu6); Seed = 92; Done (0)
2016-11-03 23:44:31 id = 5 (cpu6); Seed = 98; Starting new sample
2016-11-03 23:46:43 id = 4 (cpu5); Seed = 91; Done (0)
2016-11-03 23:46:43 id = 4 (cpu5); Seed = 99; Starting new sample
2016-11-03 23:53:10 id = 6 (cpu7); Seed = 94; Done (0)
2016-11-03 23:53:10 id = 6 (cpu7); Seed = 100; Starting new sample
2016-11-03 23:54:19 id = 2 (cpu3); Seed = 93; Done (0)
2016-11-03 23:54:19 id = 2 (cpu3); Seed = 101; Starting new sample
2016-11-03 23:56:15 id = 3 (cpu4); Seed = 95; Done (0)
2016-11-03 23:56:15 id = 3 (cpu4); Seed = 102; Starting new sample
2016-11-03 23:56:59 id = 0 (cpu1); Seed = 96; Done (0)
2016-11-03 23:56:59 id = 0 (cpu1); Seed = 103; Starting new sample
2016-11-03 23:57:32 id = 1 (cpu2); Seed = 97; Done (1)
2016-11-03 23:57:32 id = 1 (cpu2); Seed = 104; Starting new sample
2016-11-04 00:00:09 id = 4 (cpu5); Seed = 99; Done (1)
